Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
12/4/2012 11:00,10.1,7.7,85,17,24.1,101.06,Cloudy
12/4/2012 12:00,11.5,8.3,81,19,24.1,100.92,Mostly Cloudy
12/4/2012 13:00,11.9,8.4,79,17,24.1,100.84,Cloudy
12/4/2012 14:00,11.3,8.1,81,24,24.1,100.74,Cloudy
12/4/2012 15:00,11,7.9,81,24,24.1,100.66,Cloudy
12/4/2012 16:00,10.7,7.9,83,24,19.3,100.64,Cloudy
12/4/2012 17:00,10.8,8.1,83,30,25,100.55,Cloudy
12/4/2012 18:00,10.7,8.2,85,32,25,100.5,Cloudy
12/4/2012 19:00,10.7,8.4,86,7,25,100.57,Rain Showers
12/4/2012 20:00,9.9,9.1,95,15,12.9,100.53,Rain
12/4/2012 21:00,10.4,9.7,95,9,6.4,100.56,Rain
12/4/2012 22:00,9.8,9.3,97,6,12.9,100.57,Rain
12/4/2012 23:00,9.7,9.1,96,19,9.7,100.63,Rain
12/5/2012 0:00,9.5,8,90,19,12.9,100.56,Rain
12/5/2012 1:00,9,7.3,89,30,16.1,100.45,Rain
12/5/2012 2:00,8.7,7.1,90,24,16.1,100.5,Rain
12/5/2012 3:00,7.8,6.7,93,24,9.7,100.53,Rain
12/5/2012 4:00,7.2,4.8,85,15,25,100.55,Mainly Clear
12/5/2012 5:00,6.6,4.1,84,17,25,100.62,Cloudy
12/5/2012 6:00,5.7,2.7,81,24,25,100.68,Mostly Cloudy
12/5/2012 7:00,5.2,0.4,71,30,25,100.74,Mostly Cloudy
12/5/2012 8:00,4.2,-0.5,71,26,24.1,100.85,Cloudy
12/5/2012 9:00,3.6,-1.5,69,26,24.1,100.95,Cloudy
"12/5/2012 10:00,2.1,-1.8,75,28,19.3,101.09,""Rain Showers,Snow Showers"""
12/5/2012 11:00,2.2,-2.5,71,30,24.1,101.17,Snow Showers
12/5/2012 12:00,1.1,-4.8,65,26,24.1,101.23,Snow Showers
12/5/2012 13:00,1.3,-7,54,30,24.1,101.29,Mostly Cloudy
12/5/2012 14:00,0.8,-6.7,57,35,24.1,101.34,Mostly Cloudy
12/5/2012 15:00,0.1,-7.6,56,26,24.1,101.47,Mostly Cloudy
12/5/2012 16:00,-0.4,-9.4,51,30,24.1,101.58,Cloudy
12/5/2012 17:00,-0.7,-8.3,56,30,25,101.66,Cloudy
12/5/2012 18:00,-0.8,-8,58,22,25,101.76,Mostly Cloudy
12/5/2012 19:00,-1,-8.5,57,28,25,101.84,Snow
12/5/2012 20:00,-1.4,-8.6,58,19,25,101.88,Mostly Cloudy
12/5/2012 21:00,-1.9,-8.7,60,24,25,101.93,Mostly Cloudy
12/5/2012 22:00,-1.6,-9.5,55,26,25,102.01,Mostly Cloudy
12/5/2012 23:00,-1.8,-9.7,55,20,25,102.07,Mostly Cloudy
12/6/2012 0:00,-2.1,-9.7,56,20,25,102.1,Mostly Cloudy
12/6/2012 1:00,-2.3,-9.3,59,17,25,102.12,Mostly Cloudy
12/6/2012 2:00,-2.9,-9.4,61,17,25,102.21,Mostly Cloudy
12/6/2012 3:00,-3.4,-9.1,65,15,25,102.26,Mostly Cloudy
12/6/2012 4:00,-3.9,-9,68,11,25,102.33,Mostly Cloudy
12/6/2012 5:00,-5.2,-9.7,71,9,25,102.38,Mainly Clear
